   text	   data	    bss	    dec	    hex	filename    comment
   5598	    346	    965	   6909	   1afd	/home/david/IOT/dboschmRIOT/examples/hello-world/bin/arduino-mega2560/hello-world.elf   simple hello world example
   5534	    220	    965	   6719	   1a3f	/home/david/IOT/dboschmRIOT/examples/hello-world/bin/arduino-mega2560/plainriot.elf     cleaned up hello world (plain RIOT OS on arduino mega2560)
   
   5564	    248	    965	   6777	   1a79	/home/david/IOT/dboschmRIOT/examples/bindist/bin/arduino-mega2560/bindist.elf
  10374	    360	   1259	  11993	   2ed9	/home/david/IOT/dboschmRIOT/examples/arduino_hello-world/bin/arduino-mega2560/arduino_hello-world.elf
   5564	    248	    965	   6777	   1a79	/home/david/IOT/dboschmRIOT/examples/bindist/bin/arduino-mega2560/bindist.elf
  10196	   2430	    975	  13601	   3521	/home/david/IOT/dboschmRIOT/examples/default/bin/arduino-mega2560/default.elf
  16748	   2816	   2317	  21881	   5579	/home/david/IOT/dboschmRIOT/examples/filesystem/bin/arduino-mega2560/filesystem.elf
  36158	    768	   2348	  39274	   996a	/home/david/IOT/dboschmRIOT/examples/gnrc_minimal/bin/arduino-mega2560/gnrc_minimal.elf
   5534	    220	    965	   6719	   1a3f	/home/david/IOT/dboschmRIOT/examples/hello-world/bin/arduino-mega2560/plainriot.elf
   6814	    370	   1605	   8789	   2255	/home/david/IOT/dboschmRIOT/examples/ipc_pingpong/bin/arduino-mega2560/ipc_pingpong.elf
  10204	   2490	    975	  13669	   3565	/home/david/IOT/dboschmRIOT/examples/saul/bin/arduino-mega2560/saul_example.elf
   9004	    266	    981	  10251	   280b	/home/david/IOT/dboschmRIOT/examples/timer_periodic_wakeup/bin/arduino-mega2560/timer_periodic_wakeup.elf

   9836	    298	   1623	  11757	   2ded	/home/david/IOT/dboschmRIOT/tests/bench_msg_pingpong/bin/arduino-mega2560/tests_bench_msg_pingpong.elf
